,primaryMedia,Name,Date,peopleObjectsLink
36,,Alfred Ruckenbrod,German,View All Works Related to Alfred Ruckenbrod (1)
37,,Kevin Rudynski,American,View All Works Related to Kevin Rudynski (1)
38,,A. Ruger,Origin unknown,View All Works Related to A. Ruger (1)
39,,Eric Ruin,,View All Works Related to Eric Ruin (1)
40,,Jacob van Ruisdael,"Dutch, 1629 - 1682",View All Works Related to Jacob van Ruisdael (1)
41,,Edward Ruscha,"American, born 1937",View All Works Related to Edward Ruscha (1)
42,Image Not Available for John Rush,John Rush,,
43,,Kent Rush,"American, born 1948",View All Works Related to Kent Rush (1)
44,,David Russick,"American, born 1961",View All Works Related to David Russick (1)
45,,"Rutgers Center for Innovative Print and Paper, New Brunswick, New Jersey; Randy Hemminghaus, printer",,"View All Works Related to Rutgers Center for Innovative Print and Paper, New Brunswick, New Jersey; Randy Hemminghaus, printer (2)"
46,,Alison Ruttan,"American, born 1954",View All Works Related to Alison Ruttan (1)
47,,Mark Ruwedel,"American, born 1954",View All Works Related to Mark Ruwedel (3)
48,,Lambert Rycx,"Active in Antwerp and Sweden, 1543 - 1572",View All Works Related to Lambert Rycx (1)
49,,Chauncey Foster Ryder,"American, 1868 - 1949",View All Works Related to Chauncey Foster Ryder (1)
0,,Alison Saar,"American, born 1956",View All Works Related to Alison Saar (5)
1,,Sabine Klein,,View All Works Related to Sabine Klein (1)
2,,Utagawa Sadatora,"Japanese, fl. ca. 1818 - 1844",View All Works Related to Utagawa Sadatora (1)
3,,Aegidius Sadeler II,"Flemish, 1545 - 1629",View All Works Related to Aegidius Sadeler II (2)
4,,Jan Sadeler I,"Belgian, 1550 - 1600",View All Works Related to Jan Sadeler I (4)
5,,Jan Saenredam,"Dutch, 1565 - 1607",View All Works Related to Jan Saenredam (2)
6,,Pieter Janz Saenredam,"Dutch, 1597 - 1665",View All Works Related to Pieter Janz Saenredam (1)
7,,Donald Saff,"American, born 1937",View All Works Related to Donald Saff (11)
8,,Niki de Saint Phalle,"French and American, 1930 - 2002",View All Works Related to Niki de Saint Phalle (1)
9,,Kikuo Saito,"American, born Japan, 1939 - 2016",View All Works Related to Kikuo Saito (5)
10,,Kiyoshi Saito,"Japanese, 1907 - 1997",View All Works Related to Kiyoshi Saito (1)
11,Image Not Available for Robert Salm,Robert Salm,,
12,,Bernard Salomon,"French, 1508 - 1561",View All Works Related to Bernard Salomon (4)
13,,John Salt,"British, born 1937",View All Works Related to John Salt (1)
14,,Jerry Saltz,"American, born 1951",View All Works Related to Jerry Saltz (1)
15,,Joe Sander,American,View All Works Related to Joe Sander (1)
16,,Brandon Sanderson,"American, born 1977",View All Works Related to Brandon Sanderson (1)
17,,Jacob Sandrart,"German, 1630 - 1708",View All Works Related to Jacob Sandrart (1)
18,Image Not Available for Brighton Sango,Brighton Sango,"Zimbabwean, 1958 - 1995",View All Works Related to Brighton Sango (1)
19,Image Not Available for John Santoro,John Santoro,,
20,,Andrea del Sarto,"Italian, 1486 - 1530",View All Works Related to Andrea del Sarto (1)
21,,"Sasajima, Kihei","Japanese, 1906 - 1993","View All Works Related to Sasajima, Kihei (1)"
22,,Peter Saul,"American, born 1934",View All Works Related to Peter Saul (1)
23,Image Not Available for Karen Savage,Karen Savage,,
24,,"Sawada, Tetsuro","Japanese, 1935 - 1999","View All Works Related to Sawada, Tetsuro (1)"
25,,William Say,"English, 1768 - 1834",View All Works Related to William Say (1)
26,,Joe Scanlan,"American, born 1961",View All Works Related to Joe Scanlan (2)
27,,Robert Scarlett,,
28,,Louis Schanker,"American, 1903 - 1981",View All Works Related to Louis Schanker (5)
29,,Bernard P. Schardt,"American, 1904 - 1979",View All Works Related to Bernard P. Schardt (1)
30,,Josef Scharl,"American, born Germany, 1896 - 1954",View All Works Related to Josef Scharl (1)
31,,Hartmann Schedel,"German, 1440 - 1514",View All Works Related to Hartmann Schedel (1)
32,,Jenny Schmid,"American, born 1969",View All Works Related to Jenny Schmid (2)
33,,Karl Schmidt-Rottluff,"German, 1884 - 1976",View All Works Related to Karl Schmidt-Rottluff (1)
34,,"Schmidt, Georg Friedrich, Rudolph Huber","German, 1712 - 1775","View All Works Related to Schmidt, Georg Friedrich, Rudolph Huber (1)"
35,,Christopher Schneberger,"American, born 1970",View All Works Related to Christopher Schneberger (2)
36,,"Johannes Schoensperger, the Elder","German, ca. 1481 - 1523","View All Works Related to Johannes Schoensperger, the Elder (1)"
37,,Palmer Schoppe,"American, 1912 - 2001",View All Works Related to Palmer Schoppe (4)
38,,Karl Schrag,"American, born Germany, 1912 - 1995",View All Works Related to Karl Schrag (2)
39,Image Not Available for Bob Schroeder,Bob Schroeder,,
40,Image Not Available for Robert Schultz,Robert Schultz,,
41,,Michael Schwab,"German, born 1966",View All Works Related to Michael Schwab (3)
42,,Barbara Schwartz,"American, 1949 - 2006",View All Works Related to Barbara Schwartz (3)
43,,Carl Schwartz,"American, born 1935",View All Works Related to Carl Schwartz (1)
44,,Linda Schwartz,"German, born 1963",View All Works Related to Linda Schwartz (7)
45,Image Not Available for Sarah Schwartz,Sarah Schwartz,,
46,,William S. Schwartz,"American, 1896 - 1977",View All Works Related to William S. Schwartz (1)
47,Image Not Available for Todd Schwebel,Todd Schwebel,American,
48,Image Not Available for Dread Scott,Dread Scott,,
49,,Sean Scully,"American, born Ireland, 1945",View All Works Related to Sean Scully (1)
0,,George Segal,"American, 1924 - 2000",View All Works Related to George Segal (1)
1,,Junichiro Sekino,"Japanese, 1914 - 1988",View All Works Related to Junichiro Sekino (1)
2,,Self Printed,,View All Works Related to Self Printed (4)
3,,"self-printed (sic) at the Meteorological Institute of Paris, France",,"View All Works Related to self-printed (sic) at the Meteorological Institute of Paris, France (1)"
4,,self-printed (Syzygy Press),,View All Works Related to self-printed (Syzygy Press) (1)
5,,self published,,View All Works Related to self published (6)
6,,"Self-published, released by Brooke Alexander, Inc., New York",,"View All Works Related to Self-published, released by Brooke Alexander, Inc., New York (1)"
7,,Randall Sellers,"American, born 1969",View All Works Related to Randall Sellers (2)
8,,Andres Serrano,"American, born 1950",View All Works Related to Andres Serrano (1)
9,,Richard Serra,"American, born 1939",View All Works Related to Richard Serra (1)
10,,Temporary Services,,View All Works Related to Temporary Services (1)
11,,Pieter Serwouters,"Belgian, 1586 - 1657",View All Works Related to Pieter Serwouters (1)
12,Image Not Available for Alice Shaddle,Alice Shaddle,,
13,,Ben Shahn,"American, 1898 - 1969",View All Works Related to Ben Shahn (2)
14,,Joel Shapiro,"American, born 1941",View All Works Related to Joel Shapiro (1)
15,,"Shark's Ink., Boulder, Colorado",,"View All Works Related to Shark's Ink., Boulder, Colorado (3)"
16,,"Shark's Ink, Lyons, Colorado",,"View All Works Related to Shark's Ink, Lyons, Colorado (7)"
17,,"Sharks Ink., Lyons, Colorado",,"View All Works Related to Sharks Ink., Lyons, Colorado (1)"
18,Image Not Available for David Sharpe,David Sharpe,,
19,,William Sharp,"American, born Austria, 1900 - 1961",View All Works Related to William Sharp (1)
20,,Jim Shaw,"American, born 1952",View All Works Related to Jim Shaw (2)
21,,Millard Sheets,"American, 1907 - 1989",View All Works Related to Millard Sheets (1)
22,,Cindy Sherman,"American, born 1954",View All Works Related to Cindy Sherman (1)
23,,Alan Shields,"American, 1944 - 2005",View All Works Related to Alan Shields (1)
24,,Francis Bernard Shields,"American, born 1908",View All Works Related to Francis Bernard Shields (2)
25,,Shigenobu,,View All Works Related to Shigenobu (1)
26,,Shohiro Murata,,View All Works Related to Shohiro Murata (3)
27,,Harry Shokler,"American, 1896 - 1978",View All Works Related to Harry Shokler (9)
28,,Yinka Shonibare,"British, born 1962",View All Works Related to Yinka Shonibare (1)
29,,"Shorewood-Bank Street Atelier, New York",,"View All Works Related to Shorewood-Bank Street Atelier, New York (7)"
30,,David Shrobe,"American, born 1974",View All Works Related to David Shrobe (1)
31,,Christoffel van Sichem I,"Dutch, 1546 - 1624",View All Works Related to Christoffel van Sichem I (1)
32,,Kathryn Siegler,"American, born 1959",View All Works Related to Kathryn Siegler (1)
33,,Roman Siemianowski,"American, 1915 - 1990",View All Works Related to Roman Siemianowski (3)
34,,James Siena,"American, born 1957",View All Works Related to James Siena (1)
35,,Paul Sierra,"American, born Cuba, 1944",View All Works Related to Paul Sierra (2)
36,,Shaun Sifter,,View All Works Related to Shaun Sifter (1)
37,,Lisa Sigal,"American, born 1962",View All Works Related to Lisa Sigal (2)
38,,Hollis Sigler,"American, 1948 - 2001",View All Works Related to Hollis Sigler (7)
39,,Amy Sillman,"American, born 1955",View All Works Related to Amy Sillman (3)
40,,Georg Silovsky,Origin unknown,View All Works Related to Georg Silovsky (1)
41,,Rufino Silva,"American, 1919 - 1993",View All Works Related to Rufino Silva (3)
42,,Robert Silvers,"American, born 1968",View All Works Related to Robert Silvers (1)
43,,Gary Simmons,"American, born 1964",View All Works Related to Gary Simmons (1)
44,,John Simmons,"British, 1823 - 1876",View All Works Related to John Simmons (1)
45,,Laurie Simmons,"American, born 1949",View All Works Related to Laurie Simmons (2)
46,,Henry Simon,"American, born Poland, 1901 - 1995",View All Works Related to Henry Simon (241)
47,,"Simon, T. F.","Czech, 1877 - 1942","View All Works Related to Simon, T. F. (1)"
48,Image Not Available for Diane Simpson,Diane Simpson,,
49,,Lorna Simpson,"American, born 1960",View All Works Related to Lorna Simpson (2)
0,,Marian Simpson,"American, 1899 - 1978",View All Works Related to Marian Simpson (1)
1,,Paul Singdahlsen,American,View All Works Related to Paul Singdahlsen (1)
2,,Dayanita Singh,"Indian, born 1961",View All Works Related to Dayanita Singh (1)
3,,Mitchell Siporin,"American, 1910 - 1976",View All Works Related to Mitchell Siporin (7)
4,,Jeff Sippel,"American, born 1953",View All Works Related to Jeff Sippel (1)
5,,David Alfaro Siqueiros,"Mexican, 1896 - 1974",View All Works Related to David Alfaro Siqueiros (1)
6,,Aaron Siskind,"American, 1903 - 1991",View All Works Related to Aaron Siskind (5)
7,,Mark Sisson,"American, born 1957",View All Works Related to Mark Sisson (1)
8,,Nicholas Sistler,"American, born 1954",View All Works Related to Nicholas Sistler (21)
9,,Victor Sittig,American,View All Works Related to Victor Sittig (1)
10,,Stella Skinner,American,View All Works Related to Stella Skinner (1)
11,,Clarissa Sligh,"American, born 1939",View All Works Related to Clarissa Sligh (1)
12,,James Blanding Sloan,"American, 1886 - 1975",View All Works Related to James Blanding Sloan (4)
13,,Jeannette Pasin Sloan,"American, born 1946",View All Works Related to Jeannette Pasin Sloan (1)
14,,Hunt Slonem,,View All Works Related to Hunt Slonem (1)
15,,Jan Smees,"Dutch, 18th century",View All Works Related to Jan Smees (1)
16,,James D. Smillie,"American, 1833 - 1909",View All Works Related to James D. Smillie (1)
17,,Alexej Smirnov,"Russian, born ca. 1920s",View All Works Related to Alexej Smirnov (1)
18,,Benjamin Smith,"English, 1754 - 1833",View All Works Related to Benjamin Smith (1)
19,Image Not Available for Bill and Roberta Smith,Bill and Roberta Smith,"English, born 1963",View All Works Related to Bill and Roberta Smith (1)
20,,Charles William Smith,"American, 1893 - 1987",View All Works Related to Charles William Smith (1)
21,,David Smith,"American, 1906 - 1965",View All Works Related to David Smith (2)
22,,James C. Smith,American,View All Works Related to James C. Smith (1)
23,,Jaune Quick-to-See Smith,"Confederated Salish and Kootenai Nation, born 1940",View All Works Related to Jaune Quick-to-See Smith (1)
24,,Jennifer Smith,"American, born 1956",View All Works Related to Jennifer Smith (1)
25,,Joel Smith,"American, 1830 - 1903",View All Works Related to Joel Smith (1)
26,,Kiki Smith,"American, born Germany, 1954",View All Works Related to Kiki Smith (3)
27,Image Not Available for Mike Smith,Mike Smith,,
28,,Ming Smith,American,View All Works Related to Ming Smith (2)
29,,Moishe Smith,"American, born 1929",View All Works Related to Moishe Smith (1)
30,,Norbert Smith,American,View All Works Related to Norbert Smith (1)
31,Image Not Available for Helene Smith-Romer,Helene Smith-Romer,,
32,,W. Eugene Smith,"American, 1918 - 1978",View All Works Related to W. Eugene Smith (205)
33,,William E. Smith,"American, 1913 - 1977",View All Works Related to William E. Smith (1)
34,,Larry Snider,"American, born 1938",View All Works Related to Larry Snider (2)
35,Image Not Available for David Snyder,David Snyder,,
36,,Joan Snyder,"American, born 1940",View All Works Related to Joan Snyder (1)
37,,Daniel Socha,"American, born 1943",View All Works Related to Daniel Socha (2)
38,,Alfred Soder,"Swiss, 1880 - 1957",View All Works Related to Alfred Soder (1)
39,,Federico Solmi,"American, born Italy, 1973",View All Works Related to Federico Solmi (2)
40,,Solo Impression,founded 1975,View All Works Related to Solo Impression (1)
41,Image Not Available for Paulette Solow,Paulette Solow,,
42,,Carol Sommers,"American, born 1925",View All Works Related to Carol Sommers (1)
43,,Henry Somm,"French, 1844 - 1907",View All Works Related to Henry Somm (1)
44,,Steven Sorman,"American, born 1948",View All Works Related to Steven Sorman (2)
45,,Moses Soyer,"American, 1899 - 1974",View All Works Related to Moses Soyer (1)
46,,Raphael Soyer,"American, born Russia, 1898 - 1987",View All Works Related to Raphael Soyer (1)
47,Image Not Available for John Sparagana,John Sparagana,,
48,,Louis Graf Sparre,"Swedish, born Italy, 1863 - 1964",View All Works Related to Louis Graf Sparre (1)
49,,Ethel Spears,"American, 1902 - 1974",View All Works Related to Ethel Spears (2)
0,,Nancy Spero,"American, 1926 - 2009",View All Works Related to Nancy Spero (2)
1,,Eleanor Spiess-Ferris,"American, born 1941",View All Works Related to Eleanor Spiess-Ferris (1)
2,,Eugen Spiro,"American, 1874 - 1972",View All Works Related to Eugen Spiro (1)
3,,Barbara Spitz,"American, born 1926",View All Works Related to Barbara Spitz (1)
4,,Grace Spongberg,"American, 1906 - 1992",View All Works Related to Grace Spongberg (2)
5,,Bartholomaeus Spranger,"Flemish, 1546 - 1611",View All Works Related to Bartholomaeus Spranger (2)
6,,Benton Spruance,"American, 1904 - 1967",View All Works Related to Benton Spruance (3)
7,,Robert Stackhouse,"American, born 1942",View All Works Related to Robert Stackhouse (1)
8,,Chris Stain,,View All Works Related to Chris Stain (1)
9,,"Stamperia 2RC and Marlborough, Rome",,"View All Works Related to Stamperia 2RC and Marlborough, Rome (1)"
10,,Maybelle Stamper,"American, 1907 - 1995",View All Works Related to Maybelle Stamper (6)
11,,Richard Stankiewicz,"American, 1922 - 1983",View All Works Related to Richard Stankiewicz (1)
12,,Franz Stassen,"German, 1869 - 1949",View All Works Related to Franz Stassen (1)
13,Image Not Available for Evelyn Statsinger,Evelyn Statsinger,,
14,,Alexander R. Stavenitz,"American, 1901 - 1960",View All Works Related to Alexander R. Stavenitz (3)
15,,Lawrence Steele,"American, born 1967",View All Works Related to Lawrence Steele (3)
16,,Bernard Steffen,"American, 1909 - 1980",View All Works Related to Bernard Steffen (1)
17,,Bernard J. Steffen,"American, 1907 - 1980",View All Works Related to Bernard J. Steffen (1)
18,Image Not Available for Jerry Stefl,Jerry Stefl,,
19,,Edward Steichen,"American, born Luxembourg, 1879 - 1973",View All Works Related to Edward Steichen (134)
20,,Rubin Steinberg,,View All Works Related to Rubin Steinberg (1)
21,,Jakob Steinhardt,"Israeli, born Germany, 1887 - 1968",View All Works Related to Jakob Steinhardt (1)
22,,Steven Steinman,"American, born 1951",View All Works Related to Steven Steinman (1)
23,,Pat Steir,"American, born 1940",View All Works Related to Pat Steir (1)
24,,Frank Stella,"American, born 1936",View All Works Related to Frank Stella (10)
25,,John F. Stenvall,"American, 1907 - 1998",View All Works Related to John F. Stenvall (1)
26,,Joseph Sterling,"American, 1936 - 2010",View All Works Related to Joseph Sterling (3)
27,,M. Sterling,Origin unknown,View All Works Related to M. Sterling (1)
28,,Thomas Sternal,"American, born 1943",View All Works Related to Thomas Sternal (2)
29,,Harry Sternberg,"American, 1904 - 2001",View All Works Related to Harry Sternberg (4)
30,,Raymond Steth,"American, 1917 - 1997",View All Works Related to Raymond Steth (1)
31,,Laura Stickney,American,View All Works Related to Laura Stickney (1)
32,Image Not Available for Fred Stonehouse,Fred Stonehouse,,
33,,"Stone Roller, Chicago, Illinois",,"View All Works Related to Stone Roller, Chicago, Illinois (1)"
34,,Inez Storer,"American, born 1935",View All Works Related to Inez Storer (1)
35,,David Storey,,View All Works Related to David Storey (3)
36,,Frances Strain,"American, 1898 - 1962",View All Works Related to Frances Strain (2)
37,,William Strang,"Scottish, 1859 - 1921",View All Works Related to William Strang (2)
38,,Shannon Stratton,,View All Works Related to Shannon Stratton (1)
39,,Hermann Struck,"German, 1876 - 1944",View All Works Related to Hermann Struck (1)
40,,Jergen Strunk,"American, born 1943",View All Works Related to Jergen Strunk (1)
41,,Thomas Struth,"German, born 1954",View All Works Related to Thomas Struth (1)
42,,"St. Sebastian Press, Minneapolis",,"View All Works Related to St. Sebastian Press, Minneapolis (1)"
43,,students,,View All Works Related to students (2)
44,,"Students at Northern Illinois University, supervised by Michael Barnes and Ashley Nason (Jane Ryder, Mike McGovern, Curt Readel, Bill Higgins, Tim Dwyer, Anna Kenar, Peter Kenar)",,"View All Works Related to Students at Northern Illinois University, supervised by Michael Barnes and Ashley Nason (Jane Ryder, Mike McGovern, Curt Readel, Bill Higgins, Tim Dwyer, Anna Kenar, Peter Kenar) (1)"
45,,Studio Press Chicago,,View All Works Related to Studio Press Chicago (102)
46,,"Styria Studio, New York",,"View All Works Related to Styria Studio, New York (2)"
47,,Bibiana Suarez,"American, born Puerto Rico, 1960",View All Works Related to Bibiana Suarez (1)
48,,Vladimir Suchanek,"Czech, born 1933",View All Works Related to Vladimir Suchanek (1)
49,Image Not Available for George Sugarman,George Sugarman,"American, 1912 - 1999",View All Works Related to George Sugarman (1)
0,,Peter Sullivan,"American, born 1958",View All Works Related to Peter Sullivan (8)
1,,Evan Summer,Origin unknown,View All Works Related to Evan Summer (1)
2,,Charles Surendorf,"American, 1906 - 1979",View All Works Related to Charles Surendorf (2)
3,,Leopold Survage,"French, born Finland, 1879 - 1968",View All Works Related to Leopold Survage (2)
4,,Leonard Suryajaya,"Chinese-Indonesian, born 1988",View All Works Related to Leonard Suryajaya (2)
5,,Sharon E. Sutton,"American, born 1941",View All Works Related to Sharon E. Sutton (1)
6,,James Swann,"American, 1905 - 1985",View All Works Related to James Swann (2)
7,,Marc Swanson,"American, born 1969",View All Works Related to Marc Swanson (1)
8,Image Not Available for Marilyn Sward,Marilyn Sward,,
9,,Charles Swedlund,"American, born 1935",View All Works Related to Charles Swedlund (9)
10,,Masooma Syed,"Pakistani, born 1971",View All Works Related to Masooma Syed (1)
11,,Sarah Sze,"American, born 1969",View All Works Related to Sarah Sze (2)
12,Image Not Available for Donna Tadelman,Donna Tadelman,,
13,,Akio Takamori,"Japanese American, born 1970",View All Works Related to Akio Takamori (1)
14,,"Tamarind Lithography Workshop, Inc., Los Angeles",,"View All Works Related to Tamarind Lithography Workshop, Inc., Los Angeles (1)"
15,,"Tamarind Lithography Workshop, Inc., Los Angeles, California",,"View All Works Related to Tamarind Lithography Workshop, Inc., Los Angeles, California (14)"
16,,Tamarind Press,,View All Works Related to Tamarind Press (1)
17,,Maki Tamura,"Japanese, born 1973",View All Works Related to Maki Tamura (1)
18,,"Tandem Press, University of Wisconsin",,"View All Works Related to Tandem Press, University of Wisconsin (1)"
19,,Tony Tasset,"American, born 1960",View All Works Related to Tony Tasset (1)
20,,Edgar Dorsey Taylor,"American, 1904 - 1978",View All Works Related to Edgar Dorsey Taylor (2)
21,,Prentiss Taylor,"American, 1907 - 1991",View All Works Related to Prentiss Taylor (4)
22,,Warren Taylor,,View All Works Related to Warren Taylor (1)
23,,Pavel Tchelitchew,"American, born Russia, 1898 - 1957",View All Works Related to Pavel Tchelitchew (1)
24,,Teaberry Press,,View All Works Related to Teaberry Press (1)
25,,Brad Temkin,"American, born 1956",View All Works Related to Brad Temkin (2)
26,,David Teplica,"American, born 1959",View All Works Related to David Teplica (19)
27,Image Not Available for Edmund Teske,Edmund Teske,,View All Works Related to Edmund Teske (1)
28,,Pietro Testa,"Italian, 1611/12 - 1650",View All Works Related to Pietro Testa (1)
29,,Bruce Thayer,,View All Works Related to Bruce Thayer (1)
30,,Julia Thecla,"American, 1896 - 1973",View All Works Related to Julia Thecla (1)
31,,"Theresa Schrimer, Big Cat Press, Chicago, IL",,"View All Works Related to Theresa Schrimer, Big Cat Press, Chicago, IL (1)"
32,,François Thevenot,"French, born 1856",View All Works Related to François Thevenot (1)
33,,Wayne Thiebaud,"American, born 1920",View All Works Related to Wayne Thiebaud (1)
34,,Diane Thodos,"American, born 1962",View All Works Related to Diane Thodos (5)
35,,Hank Willis Thomas,"American, born 1976",View All Works Related to Hank Willis Thomas (2)
36,,Stephen Thomas,American,View All Works Related to Stephen Thomas (2)
37,Image Not Available for Mary Jean Thomson,Mary Jean Thomson,American,
38,,Bruce Thorn,"American, born 1952",View All Works Related to Bruce Thorn (2)
39,,Dox Thrash,"American, 1893 - 1965",View All Works Related to Dox Thrash (2)
40,,Tiber Press,founded 1953,View All Works Related to Tiber Press (1)
41,,Jean Tinguely,"Swiss, 1925 - 1991",View All Works Related to Jean Tinguely (1)
42,,Leonid Tishkov,"Russian, born 1953",View All Works Related to Leonid Tishkov (1)
43,,Titian,,View All Works Related to Titian (1)
44,,Mark Tobey,"American, 1890 - 1976",View All Works Related to Mark Tobey (3)
45,,Abraham Tobias,"American, 1913 - 1996",View All Works Related to Abraham Tobias (1)
46,,Lilah Toland,American,View All Works Related to Lilah Toland (3)
47,,Fred Tomaselli,"American, born 1956",View All Works Related to Fred Tomaselli (5)
48,Image Not Available for Maria Tomasula,Maria Tomasula,"American, born",
49,,Tom Baril,,View All Works Related to Tom Baril (1)
0,,Alex Topchevsky,"American, 1911 - 1999",View All Works Related to Alex Topchevsky (1)
1,,"Morris ""Toppy"" Topchevsky","American, 1899 - 1978","View All Works Related to Morris ""Toppy"" Topchevsky (1)"
2,,Morris Topchevsky,"American, born Poland, 1899 - 1947",View All Works Related to Morris Topchevsky (6)
3,,Henri de Toulouse-Lautrec,"French, 1864 - 1901",View All Works Related to Henri de Toulouse-Lautrec (2)
4,,Toyokuni,"Japanese, 1769 - 1825",View All Works Related to Toyokuni (1)
5,,Charles Joseph Traviès de Villers,"Swiss, active in France, 1804 - 1859",View All Works Related to Charles Joseph Traviès de Villers (1)
6,,Mary Tremonte,,View All Works Related to Mary Tremonte (1)
7,,Joan Truckenbrod,"American, born 1945",View All Works Related to Joan Truckenbrod (8)
8,,Barbara Trupp,"American, born 1950",View All Works Related to Barbara Trupp (7)
9,,Tseng Kwong Chi,"Canadian, born Hong Kong 1950, lived, worked, and died in New York, 1978 - 1990",View All Works Related to Tseng Kwong Chi (20)
10,,Alan Turner,"American, born 1943",View All Works Related to Alan Turner (1)
11,,J. M. W. Turner,"English, 1775 - 1851",View All Works Related to J. M. W. Turner (1)
12,,Lynne Woods Turner,"American, born 1951",View All Works Related to Lynne Woods Turner (2)
13,Image Not Available for Annette Turow,Annette Turow,American,
14,,Charles Turzak,"American, 1899 - 1986",View All Works Related to Charles Turzak (6)
15,,Richard Tuttle,"American, born 1941",View All Works Related to Richard Tuttle (1)
16,,Jack Tworkov,"American, born Poland, 1900 - 1982",View All Works Related to Jack Tworkov (4)
17,,"Tyler Graphics Ltd., Bedford Village, New York",,"View All Works Related to Tyler Graphics Ltd., Bedford Village, New York (1)"
18,,Sergey Tyukanov,Russian,View All Works Related to Sergey Tyukanov (1)
19,,Otto Ubbelohde,"German, 1867 - 1922",View All Works Related to Otto Ubbelohde (1)
20,,Unidentified artist,,View All Works Related to Unidentified artist (27)
21,,"Unidentified artist, American",,"View All Works Related to Unidentified artist, American (4)"
22,,"Unidentified artist, circle of Sir Peter Paul Rubens","possibly Flemish or Dutch, 1600 - 1675","View All Works Related to Unidentified artist, circle of Sir Peter Paul Rubens (1)"
23,,"Unidentified artist, Dutch",,"View All Works Related to Unidentified artist, Dutch (1)"
24,,"Unidentified artist, Dutch or Flemish",,"View All Works Related to Unidentified artist, Dutch or Flemish (1)"
25,,"Unidentified artist, French",,"View All Works Related to Unidentified artist, French (6)"
26,,"Unidentified artist, German",,"View All Works Related to Unidentified artist, German (4)"
27,,"Unidentified artist, German or Dutch",,"View All Works Related to Unidentified artist, German or Dutch (1)"
28,,"Unidentified artist, Portuguese",,"View All Works Related to Unidentified artist, Portuguese (1)"
29,,"Unidentified artist, possibly Manuel Orazi","Italian, active in France, 1860 - 1934","View All Works Related to Unidentified artist, possibly Manuel Orazi (1)"
30,,"Unidentified artist, Slovakian",,"View All Works Related to Unidentified artist, Slovakian (1)"
31,,Unidentified Japanese printer,,View All Works Related to Unidentified Japanese printer (1)
32,,Unidentified photographer,,View All Works Related to Unidentified photographer (222)
33,,United Limited Art Editions,,View All Works Related to United Limited Art Editions (1)
34,,"United Limited Art Editions, West Islip, New York",,"View All Works Related to United Limited Art Editions, West Islip, New York (1)"
35,,"Universal Art Editions, Bay Shore, New York, to benefit International Print Center New York",,"View All Works Related to Universal Art Editions, Bay Shore, New York, to benefit International Print Center New York (1)"
36,,"Universal Limited Art Editions, Bay Shore, New York",,"View All Works Related to Universal Limited Art Editions, Bay Shore, New York (2)"
37,,"Universal Limited Art Editions, Inc., Bay Shore, New York",,"View All Works Related to Universal Limited Art Editions, Inc., Bay Shore, New York (1)"
38,,"Universal Limited Art Editions, West Islip, New York","American, founded 1955","View All Works Related to Universal Limited Art Editions, West Islip, New York (2)"
39,,"Unknown artist, German",,"View All Works Related to Unknown artist, German (1)"
40,Image Not Available for Audrey Ushenko,Audrey Ushenko,"American, born 1945",
41,,Moses van Uytenbroeck,"Dutch, 1584 - 1648",View All Works Related to Moses van Uytenbroeck (1)
42,,John Vachon,"American, 1914 - 1975",View All Works Related to John Vachon (17)
43,,James Valerio,"American, born 1938",View All Works Related to James Valerio (1)
44,,Félix Vallotton,"Swiss, 1865 - 1925",View All Works Related to Félix Vallotton (1)
45,,Peter van der Borcht,"Belgian, 1545 - 1608",View All Works Related to Peter van der Borcht (1)
46,,Tom Van Eynde,"American, born 1947",View All Works Related to Tom Van Eynde (2)
47,,Maarten van Heemskerck,"Dutch,1498 - 1574",View All Works Related to Maarten van Heemskerck (1)
48,,Beth Van Hoesen,"American, 1926 - 2010",View All Works Related to Beth Van Hoesen (3)
49,,Jan van Londerseel,"Belgian, ca. 1570 - 1624/25",View All Works Related to Jan van Londerseel (1)
0,,Francesco Vanni,"Italian, 1563 - 1610",View All Works Related to Francesco Vanni (1)
1,,Claire Van Vliet,"Canadian, born 1933",View All Works Related to Claire Van Vliet (1)
2,,Various artists,,View All Works Related to Various artists (4)
3,,Victor Vasarely,"French, born Hungary, 1906 - 1997",View All Works Related to Victor Vasarely (1)
4,,Richard Vaux,"American, born 1940",View All Works Related to Richard Vaux (1)
5,"Image Not Available for Adriaen van de Velde, the Younger","Adriaen van de Velde, the Younger","Dutch, 1633 - 1707",
6,,Jan van de Velde II,"Dutch, ca. 1593 - 1641",View All Works Related to Jan van de Velde II (1)
7,,Bernar Venet,"French, born 1941",View All Works Related to Bernar Venet (3)
8,,Roman Verostko,"American, born 1929",View All Works Related to Roman Verostko (7)
9,,Niccolò Vicentino,"Italian, ca. 1510 - 1550",View All Works Related to Niccolò Vicentino (1)
10,,Jacques Villon,"French, 1875 - 1963",View All Works Related to Jacques Villon (1)
11,,Vinalhaven Press,founded 1985,View All Works Related to Vinalhaven Press (23)
12,,David Vinckboons,"Belgian, 1576 - ca. 1629",View All Works Related to David Vinckboons (2)
13,,Maurice de Vlaminck,"French, 1876 - 1958",View All Works Related to Maurice de Vlaminck (1)
14,,Johann Heinrich Vogeler,"German, 1872 - 1942",View All Works Related to Johann Heinrich Vogeler (4)
15,,Joseph Vogel,"American, born Poland, 1911 - 1995",View All Works Related to Joseph Vogel (2)
16,,Ambroise Vollard,1866 - 1939,View All Works Related to Ambroise Vollard (1)
